surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,379,"      .in(""verification"" / ""request"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,385,"      .in(""verification"" / ""request-by-verification-code"" / path[UUID])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,392,"      .in(""verification"" / ""request-by-phone"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,402,"      .in(""verification"" / ""check"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,411,"      .in(""token"" / ""refresh"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,419,"    endpoint.get.in(""terms"").out(statusCode(StatusCode.Ok)).out(jsonBody[GetTermsResponse])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,425,"      .in(""terms"" / ""accept"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,434,"      .in(""profile"" / ""me"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,443,"      .in(""profile"" / ""details"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,452,"      .in(""profile"" / ""preferences"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,461,"      .in(""profile"" / ""email"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,470,"      .in(""profile"" / ""multi-factor-authentication"")","path-related .in(...) route expression"
dev,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/DevPunterRoutes.scala,61,"      .in(""test-account-sign-up"")","path-related .in(...) route expression"
dev,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/DevPunterRoutes.scala,107,"      .in(""punters"" / punterId / ""funds"" / ""credit"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,48,"      .in(basePath / ""markets"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,54,"    adminEndpoint.get.in(basePath / ""markets"" / ""migrate"" / path[String](""beforeDate"")).out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,58,"      .in(basePath / ""markets"" / marketId)","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,64,"      .in(basePath / ""markets"" / marketId)","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,70,"      .in(basePath / ""markets"" / ""visibility"" / ""change"")","path-related .in(...) route expression"
