surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,51,"      .in(basePath / ""fixtures"" / path[FixtureId])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,57,"      .in(basePath / ""sports"" / path[SportId] / ""fixtures"" / path[FixtureId])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,58,"      .in(jsonBody[FixtureInfoUpdateRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/bets/infrastructure/http/BetBackofficeRoutes.scala,36,"      .in(basePath / ""bets"" / betId / ""cancel"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/bets/infrastructure/http/BetBackofficeRoutes.scala,37,"      .in(jsonBody[CancelBetRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/TournamentBackofficeRoutes.scala,28,"      .in(basePath / ""tournaments"" / tournamentId / ""make-displayable"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/TournamentBackofficeRoutes.scala,33,"      .in(basePath / ""tournaments"" / tournamentId / ""make-not-displayable"")","extracted from .in(...) definition"
dev,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/softplay/infrastructure/http/DevSoftPlayRoutes.scala,35,"      .in(""soft-play-report"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/geocomply/infrastructure/http/GeoComplyTapirEndpoints.scala,19,"      .in(""geo-comply"" / ""license-key"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/geocomply/infrastructure/http/GeoComplyTapirEndpoints.scala,27,"      .in(""geo-comply"" / ""geo-packet"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/geocomply/infrastructure/http/GeoComplyTapirEndpoints.scala,28,"      .in(jsonBody[EncryptedGeoPacket])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,41,"      .in(""payments"" / ""deposit"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,42,"      .in(phoenixAppBaseUrlInput)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,43,"      .in(jsonBody[PaymentRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,51,"      .in(""payments"" / ""withdrawal"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,52,"      .in(phoenixAppBaseUrlInput)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,53,"      .in(jsonBody[PaymentRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,61,"      .in(""payments"" / ""transactions"" / path[TransactionId])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,68,"      .in(""payments"" / ""cash-withdrawal"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,69,"      .in(jsonBody[PaymentRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,77,"      .in(""payments"" / ""cheque-withdrawal"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,78,"      .in(jsonBody[PaymentRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PxpTapirEndpoints.scala,23,"      .in(""pxp"" / ""payment-state-changed"" / ""handlePaymentStateChangedNotification"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PxpTapirEndpoints.scala,24,"      .in(xmlBody[PaymentStateChangedNotification])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PxpTapirEndpoints.scala,32,"      .in(""pxp"" / ""verify-cash-deposit"")","extracted from .in(...) definition"
